id,left_employee_flag,age_years,tenure_below_1yr_flag,manager_flag,climate,climate_change,question 21,question 23
120,Staying employees,43,0,0,95.0,,,100.0
121,Staying employees,35,0,0,84.0,,,
122,Staying employees,46,0,0,42.6,63.3,6.5,100.0
123,Staying employees,36,0,0,80.4,28.2,90.0,100.0
124,Staying employees,36,0,0,73.3,7.3,0.0,70.0
125,Staying employees,52,0,0,95.0,,89.0,
126,Staying employees,50,0,0,86.4,16.7,100.0,100.0
127,Leaving employees,27,0,0,47.3,,,100.0
128,Staying employees,37,1,0,84.7,2.0,71.0,91.0
129,Staying employees,37,0,0,100.0,0.0,100.0,100.0
130,Leaving employees,24,0,0,100.0,0.0,100.0,100.0
131,Staying employees,34,0,0,91.4,-13.3,90.0,100.0
132,Staying employees,40,0,0,95.7,10.0,91.0,100.0
133,Staying employees,37,0,0,80.3,-29.5,100.0,
134,Staying employees,59,0,0,96.3,2.7,94.0,100.0
135,Staying employees,36,0,0,54.5,31.0,,99.0
136,Staying employees,44,0,0,99.0,0.7,100.0,100.0
137,Staying employees,31,0,0,21.4,-6.7,15.0,70.0
138,Staying employees,37,0,0,66.4,4.3,49.0,59.0
139,Leaving employees,22,1,0,93.0,,,
140,Staying employees,41,0,0,89.1,8.7,85.5,100.0
141,Staying employees,21,1,0,100.0,,,
142,Leaving employees,40,0,0,50.0,,,
143,Leaving employees,37,0,0,56.4,,32.0,65.0
144,Staying employees,45,0,0,64.0,,30.0,
145,Staying employees,25,0,0,62.3,15.0,,100.0
146,Leaving employees,19,1,0,62.0,,48.0,
147,Staying employees,49,0,0,85.2,-3.5,90.0,100.0
148,Staying employees,42,0,0,64.7,15.2,70.0,72.0
149,Staying employees,46,0,0,100.0,0.0,100.0,100.0
150,Staying employees,48,0,0,96.8,4.0,,100.0
151,Staying employees,55,0,0,77.5,-19.0,,95.0
152,Staying employees,41,0,0,95.9,2.7,70.5,100.0
153,Staying employees,52,0,0,79.1,13.0,92.5,100.0
154,Staying employees,60,0,0,79.7,3.5,85.0,88.0
155,Staying employees,42,1,0,72.6,-4.0,24.0,47.5
156,Staying employees,36,0,1,60.0,,49.0,
157,Leaving employees,35,0,1,76.1,-51.3,,55.0
158,Staying employees,31,0,0,75.0,-1.3,61.5,100.0
159,Staying employees,35,0,0,40.0,0.0,0.0,100.0
160,Leaving employees,30,0,0,100.0,,,100.0
161,Staying employees,44,1,0,100.0,0.0,99.5,
162,Staying employees,41,0,0,100.0,0.0,,100.0
163,Staying employees,58,0,0,,,,
164,Staying employees,42,0,0,68.1,12.3,,100.0
165,Staying employees,41,0,0,85.3,-8.3,40.0,98.0
166,Staying employees,48,0,0,56.3,0.0,45.0,92.0
167,Staying employees,34,0,0,78.3,13.7,75.5,100.0
168,Staying employees,41,0,0,70.8,-4.0,,65.0
169,Staying employees,45,0,0,97.3,-3.3,100.0,100.0
170,Staying employees,26,0,0,100.0,0.0,94.0,100.0
171,Staying employees,49,0,0,100.0,0.0,75.0,100.0
172,Leaving employees,34,0,0,81.0,,85.0,
173,Staying employees,55,0,0,68.2,-4.5,100.0,
174,Staying employees,47,0,0,89.7,25.0,,100.0
175,Staying employees,34,0,0,78.0,27.0,,75.0
176,Staying employees,31,0,0,90.3,-7.3,,100.0
177,Staying employees,33,1,0,100.0,0.0,,100.0
178,Staying employees,39,0,0,75.7,,,
179,Staying employees,59,0,0,88.7,-6.0,100.0,100.0
180,Staying employees,59,0,0,71.0,,72.0,
181,Staying employees,37,0,0,83.4,32.3,,100.0
182,Staying employees,48,0,0,69.7,-8.7,,100.0
183,Staying employees,24,0,0,100.0,0.0,50.0,
184,Leaving employees,52,0,0,68.0,,76.0,
185,Leaving employees,48,0,0,78.0,10.8,50.0,100.0
186,Staying employees,34,0,1,100.0,0.0,100.0,100.0
187,Staying employees,35,0,0,100.0,,100.0,
188,Staying employees,36,0,0,95.3,11.0,100.0,100.0
189,Leaving employees,28,0,0,67.4,,20.0,12.0
190,Staying employees,36,0,0,99.8,-0.3,100.0,100.0
191,Staying employees,44,0,0,61.5,26.5,77.0,
192,Leaving employees,52,1,0,100.0,,,
193,Staying employees,44,0,0,80.0,0.0,84.5,99.0
194,Leaving employees,30,1,0,100.0,,,
195,Staying employees,30,0,0,78.0,2.0,83.0,100.0
196,Leaving employees,27,0,0,91.6,7.0,100.0,100.0
197,Leaving employees,49,0,0,92.0,,92.0,96.0
198,Staying employees,29,0,0,100.0,0.0,100.0,100.0
199,Staying employees,39,0,0,79.4,6.5,79.5,
200,Staying employees,42,0,0,64.7,-27.0,66.0,80.0
201,Staying employees,39,0,0,66.8,17.2,67.0,98.5
202,Staying employees,22,0,0,67.0,,,27.0
203,Staying employees,27,1,0,10.0,,0.0,
204,Staying employees,38,0,0,100.0,,,
205,Staying employees,62,0,0,100.0,,,
206,Staying employees,36,0,0,45.3,17.2,11.0,34.0
207,Staying employees,43,0,0,81.8,20.5,,100.0
208,Staying employees,36,0,0,100.0,0.0,100.0,100.0
209,Staying employees,43,0,0,75.3,,40.0,100.0
210,Staying employees,42,0,0,100.0,,,
211,Staying employees,29,0,0,71.3,14.7,80.0,100.0
212,Staying employees,52,0,0,100.0,0.0,100.0,100.0
213,Staying employees,35,0,0,78.1,-0.3,71.0,100.0
214,Staying employees,39,0,0,46.7,-13.3,35.0,75.0
215,Staying employees,54,0,0,93.1,1.3,98.0,100.0
216,Staying employees,26,0,0,96.7,-5.0,,100.0
