id,left_employee_flag,age_years,tenure_below_1yr_flag,manager_flag,climate,climate_change,question 21,question 23
1074,Staying employees,45,0,0,31.3,,100.0,
1075,Staying employees,55,0,0,100.0,,,
1076,Staying employees,38,1,0,44.7,10.0,,
1077,Staying employees,32,0,0,98.7,0.0,98.0,100.0
1078,Staying employees,37,0,0,100.0,0.0,,100.0
1079,Staying employees,32,0,0,99.0,-1.0,100.0,100.0
1080,Staying employees,27,1,0,79.0,,,
1081,Staying employees,47,0,0,99.1,-0.3,92.5,100.0
1082,Staying employees,37,0,1,100.0,0.0,100.0,100.0
1083,Staying employees,35,0,0,100.0,0.0,100.0,100.0
1084,Staying employees,45,0,0,89.7,19.7,98.0,100.0
1085,Staying employees,47,1,0,96.0,,96.0,100.0
1086,Leaving employees,36,0,0,100.0,,,
1087,Staying employees,29,0,0,95.7,0.0,100.0,100.0
1088,Staying employees,28,0,0,95.6,-5.7,75.0,100.0
1089,Staying employees,26,0,0,45.0,,0.0,
1090,Staying employees,33,0,0,72.0,-9.2,75.0,100.0
1091,Staying employees,47,0,0,72.4,4.3,60.0,85.0
1092,Leaving employees,62,0,0,27.0,,,
1093,Staying employees,51,0,0,92.6,0.0,90.0,100.0
1094,Staying employees,48,0,0,96.0,,,
1095,Staying employees,53,0,0,98.9,-2.7,91.0,100.0
1096,Staying employees,38,1,0,47.0,,,95.0
1097,Staying employees,35,0,0,100.0,0.0,100.0,100.0
1098,Staying employees,55,0,0,30.0,,,
1099,Staying employees,46,0,0,97.5,-1.7,,100.0
1100,Staying employees,47,0,0,93.5,13.0,,43.0
1101,Staying employees,48,0,0,100.0,0.0,,100.0
1102,Leaving employees,33,0,0,89.3,75.0,50.0,100.0
1103,Staying employees,51,0,0,97.7,4.5,100.0,100.0
1104,Staying employees,25,0,0,85.0,,,
1105,Staying employees,48,0,1,97.1,0.0,90.0,100.0
1106,Staying employees,44,0,0,60.0,,,
1107,Staying employees,25,0,0,33.0,,,
1108,Staying employees,24,0,0,,,,
1109,Leaving employees,33,0,0,79.0,59.0,,
1110,Staying employees,53,0,1,95.0,-1.7,,100.0
1111,Leaving employees,31,0,0,85.4,-2.3,75.0,87.0
1112,Staying employees,31,0,0,85.0,25.0,,100.0
1113,Staying employees,25,0,0,64.8,10.3,7.0,100.0
1114,Staying employees,41,0,0,96.7,5.0,,100.0
1115,Staying employees,35,0,0,87.8,-3.0,,100.0
1116,Staying employees,37,0,0,91.5,-5.0,,
1117,Staying employees,53,0,0,81.3,-2.0,,90.0
1118,Leaving employees,51,0,1,96.3,,100.0,
1119,Staying employees,45,0,1,87.1,20.0,85.0,75.0
1120,Staying employees,32,1,0,80.0,,,
1121,Staying employees,52,0,0,100.0,0.0,,100.0
1122,Staying employees,40,0,0,83.0,-8.0,90.0,100.0
1123,Staying employees,52,0,0,75.6,-17.7,10.0,75.0
1124,Leaving employees,24,0,0,56.4,,,81.0
1125,Staying employees,43,0,0,79.3,-21.0,,
1126,Staying employees,47,0,0,77.3,17.2,,89.0
1127,Staying employees,30,0,0,100.0,,,
1128,Staying employees,40,0,0,66.1,-10.3,65.5,85.0
1129,Staying employees,31,1,0,50.0,,,100.0
1130,Staying employees,46,0,0,100.0,0.0,100.0,100.0
1131,Staying employees,43,0,0,76.0,-20.0,100.0,100.0
1132,Leaving employees,31,0,0,96.2,,100.0,100.0
1133,Leaving employees,31,1,0,91.0,,,100.0
1134,Staying employees,39,0,1,8.1,17.3,0.0,84.0
1135,Staying employees,47,0,0,58.6,6.0,,91.0
1136,Staying employees,46,0,0,60.8,-17.3,100.0,99.0
1137,Staying employees,34,0,0,41.7,-12.5,,70.0
1138,Staying employees,40,1,0,97.3,-5.0,100.0,100.0
1139,Staying employees,37,0,0,84.0,64.0,,
1140,Leaving employees,30,1,0,33.3,,,53.0
1141,Staying employees,53,0,0,92.7,17.0,,100.0
1142,Staying employees,37,0,0,100.0,0.0,100.0,100.0
1143,Staying employees,37,0,0,67.0,,100.0,
1144,Staying employees,32,0,1,100.0,,,100.0
1145,Staying employees,63,0,0,84.5,,,96.5
1146,Staying employees,34,0,1,100.0,0.0,100.0,
1147,Staying employees,28,0,0,0.0,,,
1148,Staying employees,62,0,0,84.0,26.0,,100.0
1149,Staying employees,35,0,1,100.0,0.0,,100.0
1150,Staying employees,32,0,1,79.3,-11.7,88.0,100.0
1151,Staying employees,56,0,0,100.0,0.0,100.0,
1152,Staying employees,46,1,0,77.6,-5.0,98.5,
1153,Staying employees,56,0,0,52.5,-7.0,34.0,80.0
1154,Staying employees,37,1,0,100.0,,,
1155,Leaving employees,24,0,0,88.8,,75.0,81.0
1156,Staying employees,41,0,0,98.6,0.0,100.0,100.0
1157,Staying employees,37,0,0,100.0,0.0,100.0,100.0
1158,Staying employees,29,0,0,92.0,24.0,100.0,100.0
1159,Staying employees,25,0,0,100.0,0.0,100.0,100.0
1160,Staying employees,38,0,0,89.3,3.0,,100.0
1161,Staying employees,56,0,0,74.0,,,
1162,Leaving employees,28,0,0,84.3,,100.0,100.0
1163,Staying employees,33,0,0,88.0,,,
1164,Staying employees,34,0,0,45.0,,96.0,
1165,Staying employees,54,0,0,97.3,4.0,,100.0
1166,Staying employees,41,0,0,61.4,54.7,97.5,100.0
1167,Staying employees,35,0,0,0.0,,,
1168,Leaving employees,122,0,0,26.8,20.3,,3.0
1169,Staying employees,56,0,0,98.6,3.3,100.0,100.0
1170,Staying employees,42,0,1,94.0,4.0,,100.0
1171,Staying employees,51,0,0,32.0,,63.0,
1172,Staying employees,27,0,0,70.3,-19.3,,100.0
1173,Staying employees,27,0,0,88.5,,,100.0
1174,Leaving employees,28,0,0,50.0,,,
1175,Staying employees,24,0,0,90.0,,,
1176,Leaving employees,21,1,0,100.0,,,
1177,Staying employees,37,0,0,73.6,25.7,56.0,100.0
1178,Staying employees,38,0,0,56.0,-48.0,,85.0
1179,Staying employees,37,0,0,100.0,0.0,,100.0
1180,Staying employees,45,0,0,13.0,,,
1181,Staying employees,26,0,0,89.0,-22.0,,
1182,Staying employees,29,0,0,70.2,-2.2,50.0,90.0
1183,Staying employees,38,0,0,26.3,4.3,,80.0
1184,Leaving employees,31,1,1,80.0,,,
1185,Leaving employees,38,0,0,100.0,,,100.0
1186,Leaving employees,30,1,0,81.0,,24.0,
1187,Staying employees,29,1,0,100.0,,,
1188,Leaving employees,55,0,0,50.0,,,
1189,Staying employees,47,0,0,30.8,-10.0,25.0,
1190,Staying employees,33,0,0,94.3,0.0,3.0,
1191,Leaving employees,37,0,1,99.8,1.0,49.0,61.0
1192,Staying employees,41,1,0,100.0,,100.0,
1193,Staying employees,49,0,0,87.6,2.3,98.7,100.0
1194,Staying employees,26,0,0,93.7,-14.7,,97.5
1195,Leaving employees,24,1,0,80.0,,,
1196,Staying employees,34,0,0,38.0,-30.0,,
1197,Staying employees,34,0,0,100.0,0.0,100.0,100.0
1198,Staying employees,54,0,0,100.0,,100.0,
1199,Staying employees,42,0,1,100.0,0.0,100.0,100.0
1200,Staying employees,56,0,0,68.0,8.0,50.0,87.5
1201,Staying employees,33,0,0,97.0,-7.5,83.0,
1202,Staying employees,35,0,0,66.0,,,100.0
1203,Staying employees,52,0,0,37.0,,,92.0
1204,Staying employees,23,0,0,20.0,0.0,1.5,
1205,Staying employees,50,0,0,69.7,-25.7,50.0,85.0
1206,Staying employees,38,0,0,97.3,-6.5,100.0,
1207,Staying employees,59,0,0,73.6,19.7,61.0,100.0
1208,Staying employees,45,0,0,70.0,-16.7,58.0,100.0
1209,Staying employees,30,0,0,90.8,10.0,49.0,100.0
1210,Staying employees,40,0,0,60.1,93.0,100.0,100.0
1211,Leaving employees,35,0,0,70.7,-28.0,,90.0
1212,Staying employees,55,0,0,94.0,8.0,79.5,100.0
1213,Staying employees,30,0,0,79.4,-37.0,,80.0
1214,Staying employees,41,0,0,92.0,2.7,91.0,100.0
1215,Leaving employees,34,0,0,76.1,60.0,91.0,100.0
1216,Staying employees,38,0,0,65.0,22.5,,35.0
1217,Staying employees,28,1,0,40.0,26.7,,100.0
1218,Leaving employees,58,0,0,,,54.0,
1219,Leaving employees,48,0,0,79.0,-70.3,,100.0
1220,Staying employees,32,0,0,97.1,0.0,90.0,100.0
1221,Staying employees,46,0,0,81.6,0.0,26.0,100.0
1222,Staying employees,34,0,0,100.0,,,
1223,Staying employees,48,0,0,53.2,-7.8,,
1224,Staying employees,27,0,0,94.8,-0.3,80.0,100.0
1225,Staying employees,49,0,0,100.0,,,100.0
1226,Staying employees,40,0,0,70.8,10.2,,89.0
1227,Staying employees,24,1,0,68.0,,50.0,
1228,Staying employees,49,0,0,85.3,-7.7,65.0,100.0
1229,Leaving employees,37,0,0,50.7,-23.7,,24.0
1230,Staying employees,47,0,0,84.3,10.0,90.0,100.0
1231,Staying employees,46,0,0,85.7,-0.7,,99.5
1232,Staying employees,39,0,0,64.4,23.3,,97.0
1233,Staying employees,35,1,0,100.0,0.0,,100.0
1234,Staying employees,45,0,0,73.4,15.7,40.0,100.0
1235,Staying employees,24,1,0,96.7,-5.0,,100.0
1236,Staying employees,32,0,0,100.0,0.0,100.0,
1237,Staying employees,36,1,0,94.7,,100.0,100.0
1238,Leaving employees,47,0,1,47.5,,,
1239,Leaving employees,22,1,0,0.0,,,
1240,Staying employees,38,0,0,90.5,19.0,100.0,100.0
1241,Staying employees,49,0,0,67.8,2.3,0.0,80.0
1242,Staying employees,54,0,0,100.0,0.0,100.0,100.0
1243,Leaving employees,29,0,0,84.5,,,100.0
1244,Leaving employees,39,1,0,72.0,,,100.0
1245,Staying employees,51,0,0,95.7,9.7,98.0,100.0
1246,Staying employees,23,0,0,100.0,0.0,100.0,99.5
1247,Leaving employees,21,0,0,60.0,62.7,100.0,100.0
1248,Staying employees,44,0,0,15.0,,0.0,
1249,Staying employees,30,0,0,62.0,,,
1250,Staying employees,49,0,0,68.3,17.7,,99.0
1251,Staying employees,34,0,0,96.7,6.7,,100.0
1252,Staying employees,44,0,0,59.0,,,
1253,Leaving employees,39,0,0,73.0,,,
1254,Staying employees,32,0,0,77.1,3.3,,100.0
1255,Leaving employees,35,0,0,69.6,-9.0,34.5,50.0
1256,Staying employees,29,0,0,100.0,,,
1257,Staying employees,44,0,0,91.9,-15.7,,100.0
1258,Staying employees,27,0,0,92.9,16.7,100.0,100.0
1259,Staying employees,,1,1,88.5,,,100.0
1260,Staying employees,64,0,0,62.4,-9.7,33.5,81.0
1261,Staying employees,47,0,0,95.2,9.0,,100.0
1262,Staying employees,22,0,0,80.0,,75.0,
1263,Staying employees,32,1,0,63.3,10.0,20.0,
1264,Staying employees,36,1,0,100.0,0.0,100.0,100.0
1265,Staying employees,26,1,0,98.6,0.0,16.0,100.0
1266,Staying employees,32,1,0,30.0,,50.0,
1267,Staying employees,43,1,0,82.0,-5.0,,
1268,Staying employees,40,0,0,65.5,65.0,55.0,
1269,Staying employees,49,0,0,66.0,-32.0,,100.0
1270,Staying employees,30,0,1,61.8,8.0,,64.0
1271,Staying employees,30,0,0,93.2,-2.0,,80.0
1272,Staying employees,48,0,0,97.1,-2.3,100.0,100.0
1273,Staying employees,25,0,0,96.8,-6.3,78.0,100.0
1274,Staying employees,63,0,1,76.8,,,86.0
1275,Staying employees,46,0,0,55.4,-52.3,,100.0
1276,Staying employees,43,1,0,51.0,,62.0,
1277,Staying employees,37,0,0,94.9,12.0,100.0,100.0
1278,Staying employees,39,0,0,98.9,2.0,,100.0
1279,Staying employees,42,1,0,100.0,,,
1280,Leaving employees,40,0,0,83.0,,,28.0
1281,Staying employees,35,0,0,100.0,0.0,,100.0
1282,Staying employees,34,0,1,76.3,16.5,14.0,
1283,Staying employees,45,0,0,100.0,0.0,,
1284,Staying employees,25,0,0,94.0,,,
1285,Staying employees,32,1,1,95.5,-6.0,85.0,
1286,Staying employees,34,0,0,100.0,,,
1287,Staying employees,27,1,0,86.5,9.7,100.0,100.0
1288,Staying employees,44,1,0,89.5,6.0,80.0,100.0
1289,Staying employees,44,0,0,93.3,0.0,85.0,
1290,Staying employees,47,0,0,85.2,-24.7,11.0,100.0
1291,Leaving employees,28,0,0,100.0,,,
1292,Leaving employees,31,0,0,67.3,,,
1293,Staying employees,43,0,0,67.3,6.2,,100.0
1294,Leaving employees,50,0,0,100.0,0.0,0.0,100.0
1295,Staying employees,34,1,0,100.0,0.0,77.5,100.0
1296,Staying employees,25,0,0,46.0,,70.0,
1297,Staying employees,47,0,0,100.0,0.0,100.0,100.0
1298,Staying employees,30,0,0,95.7,3.3,0.0,90.0
1299,Leaving employees,24,0,0,100.0,,,
1300,Leaving employees,44,1,0,100.0,,,
1301,Staying employees,34,0,0,84.6,4.7,,100.0
1302,Staying employees,32,0,0,93.8,0.0,70.0,100.0
1303,Leaving employees,30,0,0,75.0,,40.0,
1304,Staying employees,46,0,0,97.3,3.3,100.0,100.0
1305,Staying employees,37,0,0,20.7,22.0,,
1306,Staying employees,33,0,0,99.2,1.7,100.0,100.0
1307,Staying employees,48,0,0,66.0,,,
1308,Staying employees,29,0,0,62.0,,,
1309,Staying employees,56,0,0,74.4,-15.3,85.0,76.0
1310,Staying employees,32,0,0,95.7,3.3,82.0,100.0
1311,Staying employees,44,0,0,100.0,0.0,50.0,100.0
1312,Staying employees,41,0,0,63.3,0.7,,97.0
1313,Staying employees,29,0,0,77.5,-10.0,,
1314,Staying employees,28,0,0,85.0,,,
1315,Leaving employees,25,0,0,82.0,,,
1316,Staying employees,46,0,0,53.7,-64.0,,98.0
1317,Staying employees,46,0,0,65.3,24.5,,100.0
1318,Staying employees,59,0,0,93.3,4.0,97.5,100.0
1319,Leaving employees,59,0,0,68.0,44.7,,100.0
1320,Staying employees,30,0,0,100.0,0.0,100.0,100.0
1321,Staying employees,22,0,0,50.4,-1.0,,100.0
1322,Staying employees,27,0,0,92.5,,,
1323,Staying employees,37,0,1,85.5,-0.3,75.0,95.0
1324,Staying employees,35,0,0,74.1,23.7,25.0,79.0
1325,Staying employees,21,1,0,100.0,,100.0,
1326,Staying employees,38,0,1,62.3,-10.0,66.0,80.0
1327,Leaving employees,47,0,0,72.0,,,
1328,Staying employees,26,0,0,92.3,6.7,83.5,100.0
1329,Staying employees,54,0,0,91.3,2.3,98.0,100.0
1330,Staying employees,24,0,0,100.0,0.0,100.0,100.0
1331,Staying employees,37,0,0,86.0,23.3,,100.0
1332,Staying employees,31,0,0,97.7,2.7,90.0,100.0
1333,Leaving employees,26,1,0,100.0,,,
1334,Staying employees,43,0,0,85.4,10.7,100.0,100.0
1335,Staying employees,33,0,0,28.0,,,
1336,Staying employees,29,1,0,85.0,0.3,70.0,100.0
1337,Leaving employees,22,0,0,81.5,,100.0,100.0
1338,Staying employees,38,0,0,93.3,-7.7,80.0,91.0
1339,Staying employees,34,0,0,89.4,11.3,91.5,100.0
1340,Staying employees,41,0,0,81.8,-2.8,78.0,
1341,Staying employees,55,0,0,100.0,0.0,50.0,100.0
1342,Staying employees,52,0,0,95.6,10.3,63.0,100.0
1343,Leaving employees,44,0,0,92.5,-25.0,100.0,100.0
1344,Staying employees,34,0,0,95.0,,81.0,
1345,Staying employees,38,0,0,75.8,-34.3,,100.0
1346,Staying employees,53,0,0,78.4,8.7,,95.0
1347,Staying employees,55,0,0,93.7,1.7,70.0,100.0
1348,Leaving employees,44,0,1,97.4,,84.0,100.0
1349,Staying employees,47,1,0,100.0,,,
1350,Staying employees,32,0,0,81.4,27.3,,100.0
1351,Staying employees,54,0,1,90.0,0.0,90.0,100.0
1352,Leaving employees,51,0,0,98.8,-5.0,90.3,100.0
1353,Staying employees,42,0,0,20.0,,,
1354,Staying employees,26,0,0,87.6,-12.7,45.0,100.0
1355,Staying employees,33,0,0,100.0,0.0,100.0,70.0
1356,Staying employees,41,0,0,100.0,0.0,100.0,100.0
1357,Staying employees,26,0,0,77.0,,,
1358,Staying employees,27,1,0,100.0,,,
1359,Staying employees,44,0,0,95.1,5.7,52.0,100.0
1360,Staying employees,28,0,0,77.0,,,
1361,Staying employees,49,0,0,81.3,9.2,82.0,79.0
1362,Staying employees,41,0,0,26.0,-78.0,,
1363,Staying employees,52,0,0,97.3,3.3,99.0,100.0
1364,Staying employees,36,0,0,73.9,-15.3,20.0,90.0
1365,Leaving employees,34,0,0,64.3,,0.0,50.0
1366,Staying employees,36,0,0,100.0,,,
1367,Staying employees,44,0,0,83.7,16.7,,100.0
1368,Staying employees,53,1,0,100.0,0.0,100.0,100.0
1369,Staying employees,55,0,0,92.7,,100.0,100.0
1370,Staying employees,28,0,0,100.0,0.0,51.0,
1371,Leaving employees,33,0,0,100.0,,70.0,100.0
1372,Staying employees,46,0,1,73.0,-4.0,50.0,94.0
1373,Staying employees,32,0,0,30.0,,,100.0
1374,Staying employees,49,1,0,87.7,,,100.0
1375,Staying employees,40,0,0,40.7,,100.0,100.0
1376,Staying employees,38,0,0,74.5,-7.5,85.0,
1377,Staying employees,52,0,0,91.5,5.3,,99.0
1378,Staying employees,33,1,0,86.0,,,
1379,Leaving employees,32,0,0,98.0,,65.0,
1380,Staying employees,26,0,0,100.0,0.0,49.0,100.0
1381,Staying employees,23,1,0,67.5,-25.0,,65.0
1382,Staying employees,49,1,1,100.0,0.0,100.0,100.0
1383,Staying employees,24,0,0,38.3,15.0,12.0,100.0
1384,Staying employees,27,0,0,88.0,10.0,100.0,86.0
1385,Staying employees,41,0,0,33.7,,2.0,22.0
1386,Staying employees,30,0,0,100.0,,97.0,
1387,Staying employees,54,0,0,88.6,-4.0,,100.0
1388,Staying employees,48,1,0,53.8,-58.5,52.0,100.0
1389,Staying employees,45,0,0,78.0,,,
1390,Staying employees,50,0,0,66.8,-3.5,18.0,
1391,Staying employees,31,0,0,66.7,-25.0,,
1392,Staying employees,52,0,0,77.4,13.2,69.0,68.0
1393,Staying employees,26,0,0,100.0,0.0,100.0,100.0
1394,Leaving employees,29,0,0,37.0,,0.0,
1395,Staying employees,52,1,0,74.6,-4.7,,88.0
1396,Staying employees,48,0,0,88.1,5.7,79.0,80.0
1397,Staying employees,40,1,0,69.0,,,87.0
1398,Leaving employees,27,1,0,66.5,-7.0,16.0,
1399,Staying employees,42,0,0,100.0,0.0,85.0,100.0
1400,Leaving employees,46,0,0,83.0,-27.0,9.5,100.0
1401,Staying employees,32,1,0,75.0,,,100.0
1402,Staying employees,50,0,0,44.8,-34.0,,
1403,Leaving employees,31,0,0,67.0,,40.0,100.0
1404,Staying employees,51,0,0,90.0,1.0,94.0,
1405,Staying employees,62,0,0,50.0,0.0,,
1406,Staying employees,40,0,0,100.0,0.0,100.0,100.0
1407,Staying employees,53,0,0,0.0,,,
1408,Staying employees,31,0,0,67.9,1.7,,70.0
1409,Staying employees,42,0,0,91.2,22.0,,100.0
1410,Staying employees,44,1,0,89.2,8.0,90.0,93.0
1411,Staying employees,36,0,0,61.8,22.2,0.0,100.0
1412,Staying employees,33,0,0,86.0,,,
1413,Staying employees,29,0,0,90.0,-14.2,85.0,100.0
1414,Staying employees,43,0,1,96.7,-6.7,37.0,100.0
1415,Staying employees,39,0,0,100.0,0.0,100.0,
1416,Staying employees,26,0,0,92.1,1.7,70.0,95.0
1417,Staying employees,34,0,0,98.4,8.0,100.0,
1418,Staying employees,51,0,0,83.8,2.7,91.0,100.0
1419,Leaving employees,51,0,0,61.0,,100.0,100.0
1420,Staying employees,50,0,0,81.8,18.2,100.0,100.0
1421,Staying employees,41,0,1,47.1,22.0,50.0,30.0
1422,Leaving employees,24,0,0,85.0,,,
1423,Staying employees,33,0,0,80.2,7.0,,80.0
1424,Staying employees,38,0,0,54.3,34.0,90.0,68.0
1425,Staying employees,44,0,0,66.8,8.0,61.0,88.0
1426,Staying employees,30,0,0,80.0,,,
1427,Staying employees,45,0,0,72.6,22.7,30.0,80.0
1428,Staying employees,35,1,0,88.8,2.2,100.0,100.0
1429,Staying employees,24,0,0,100.0,,,
1430,Staying employees,32,0,0,79.7,-8.0,75.0,76.0
1431,Staying employees,35,0,0,83.2,-3.8,75.0,100.0
1432,Staying employees,27,0,0,66.3,-0.3,77.0,100.0
1433,Staying employees,42,0,0,97.5,-5.0,86.0,
1434,Staying employees,37,0,0,89.7,1.0,,
1435,Leaving employees,33,0,0,100.0,0.0,100.0,100.0
1436,Staying employees,47,0,0,89.3,11.0,80.0,
1437,Leaving employees,24,0,0,87.0,,,
1438,Staying employees,39,0,0,45.0,57.3,80.0,
1439,Staying employees,25,0,0,100.0,0.0,78.0,100.0
1440,Leaving employees,21,1,0,37.5,,,
1441,Staying employees,42,0,0,99.0,-1.5,100.0,
1442,Staying employees,27,0,0,19.0,,36.0,
1443,Staying employees,32,0,0,96.5,,100.0,100.0
1444,Staying employees,56,0,0,51.8,-23.0,19.0,100.0
1445,Staying employees,31,0,0,97.3,0.0,100.0,100.0
1446,Leaving employees,29,0,0,92.0,,,100.0
1447,Staying employees,22,0,0,89.7,0.0,88.0,100.0
1448,Staying employees,48,0,0,70.6,9.3,22.0,100.0
1449,Staying employees,49,0,0,57.0,44.0,,100.0
1450,Leaving employees,25,0,0,35.0,,,100.0
1451,Leaving employees,41,0,0,99.0,,,100.0
1452,Staying employees,41,0,0,97.1,0.0,85.0,100.0
1453,Staying employees,34,0,0,100.0,0.0,100.0,100.0
1454,Staying employees,45,0,0,87.5,,100.0,
1455,Staying employees,41,0,0,100.0,,,
1456,Staying employees,36,0,0,100.0,0.0,100.0,100.0
1457,Staying employees,52,0,0,95.8,-7.5,83.0,97.0
1458,Staying employees,24,0,0,94.8,4.7,,100.0
1459,Leaving employees,36,1,0,85.4,,100.0,100.0
1460,Staying employees,27,0,0,69.7,11.7,100.0,100.0
1461,Staying employees,36,0,0,60.0,,,
1462,Staying employees,58,0,0,97.9,-0.3,100.0,100.0
1463,Staying employees,26,1,0,100.0,,100.0,
1464,Staying employees,34,1,0,61.0,,,
1465,Staying employees,32,0,0,88.3,-7.3,89.0,100.0
1466,Staying employees,25,1,0,97.5,-3.3,100.0,80.0
1467,Staying employees,55,0,0,96.0,1.2,94.0,100.0
1468,Staying employees,43,0,0,20.3,-35.5,,
1469,Leaving employees,53,1,0,91.4,,100.0,100.0
1470,Leaving employees,32,1,0,80.0,,,100.0
1471,Staying employees,39,0,0,66.6,16.0,96.0,100.0
1472,Staying employees,26,1,0,57.2,0.7,,91.0
1473,Staying employees,33,0,0,100.0,,,
1474,Staying employees,31,0,0,100.0,0.0,,93.0
1475,Staying employees,22,0,0,53.0,,,
1476,Staying employees,36,0,0,86.2,1.0,,90.0
1477,Staying employees,47,1,0,99.5,-1.0,100.0,100.0
1478,Leaving employees,51,0,0,90.9,-1.3,82.5,92.5
1479,Staying employees,48,0,0,88.0,-20.0,,100.0
1480,Staying employees,48,0,0,86.8,-13.7,64.0,100.0
1481,Staying employees,41,0,0,77.6,-18.2,,
1482,Staying employees,35,1,0,60.0,,,
1483,Staying employees,37,0,0,87.5,,7.0,
1484,Staying employees,55,0,0,70.9,-15.7,86.0,100.0
1485,Staying employees,27,0,0,50.0,,,26.0
1486,Leaving employees,26,1,0,100.0,,,
1487,Leaving employees,25,1,0,76.3,,50.0,40.0
1488,Staying employees,33,0,0,57.5,3.3,50.0,76.0
1489,Staying employees,47,0,0,89.6,-0.3,68.3,71.0
1490,Staying employees,34,1,0,100.0,0.0,100.0,100.0
1491,Staying employees,56,1,0,77.0,,89.0,
1492,Staying employees,39,0,0,100.0,0.0,100.0,100.0
1493,Staying employees,53,0,0,97.4,-3.0,,100.0
1494,Staying employees,35,0,1,44.9,13.0,15.5,61.0
1495,Staying employees,35,0,0,81.0,-25.3,100.0,
1496,Staying employees,60,0,0,85.7,3.3,90.0,100.0
1497,Staying employees,31,0,1,100.0,0.0,100.0,100.0
1498,Staying employees,25,1,0,99.8,1.0,,
1499,Staying employees,23,1,0,55.8,6.5,,100.0
1500,Staying employees,33,0,0,81.4,8.5,58.0,
1501,Staying employees,31,0,0,70.0,47.3,100.0,100.0
1502,Staying employees,42,0,1,79.6,1.7,83.0,100.0
1503,Staying employees,29,1,0,89.3,17.0,100.0,
1504,Leaving employees,35,0,0,60.0,,,
1505,Leaving employees,59,0,0,90.2,,90.0,100.0
1506,Staying employees,42,0,0,62.0,,,100.0
1507,Leaving employees,40,1,0,95.0,,,
1508,Staying employees,45,0,0,100.0,0.0,,100.0
1509,Staying employees,27,1,0,100.0,,,
1510,Staying employees,29,0,0,64.1,30.3,30.0,55.5
1511,Staying employees,31,0,0,89.4,0.0,100.0,100.0
1512,Staying employees,44,0,0,92.5,3.7,87.0,95.0
1513,Staying employees,21,0,0,78.4,23.0,71.0,100.0
1514,Staying employees,50,1,1,71.0,16.0,50.0,100.0
1515,Staying employees,34,1,0,80.0,,,100.0
1516,Staying employees,33,0,0,77.3,-30.0,90.0,100.0
1517,Staying employees,41,1,0,100.0,0.0,100.0,100.0
1518,Staying employees,37,0,0,90.5,20.2,,100.0
1519,Staying employees,27,1,0,85.3,-0.5,0.0,
1520,Staying employees,26,0,0,100.0,0.0,100.0,
1521,Staying employees,29,1,0,93.0,,100.0,100.0
1522,Staying employees,22,0,0,18.2,7.0,0.0,60.0
1523,Staying employees,33,0,1,77.7,,,
1524,Staying employees,52,0,0,100.0,0.0,100.0,100.0
1525,Staying employees,24,1,0,100.0,,90.0,
1526,Staying employees,39,0,0,87.4,-24.7,50.0,100.0
1527,Staying employees,31,1,0,100.0,,100.0,
1528,Staying employees,27,0,0,88.1,4.7,45.0,87.0
1529,Staying employees,38,0,0,85.9,3.3,75.0,97.5
1530,Leaving employees,28,0,0,100.0,,,
1531,Staying employees,36,0,0,96.5,0.3,94.0,100.0
1532,Staying employees,33,1,0,100.0,,24.0,
1533,Leaving employees,33,0,0,84.0,,,
1534,Staying employees,47,0,1,72.4,43.7,,100.0
1535,Staying employees,29,0,0,95.5,0.0,100.0,100.0
1536,Staying employees,41,0,0,73.3,14.5,,94.0
1537,Staying employees,34,0,0,85.7,25.0,90.0,90.0
1538,Leaving employees,29,0,0,100.0,,100.0,
1539,Staying employees,47,0,0,99.8,-0.3,60.0,100.0
1540,Staying employees,33,0,0,11.5,23.0,0.0,
1541,Staying employees,22,0,0,76.5,,,
1542,Staying employees,43,0,0,84.5,-31.0,,100.0
1543,Staying employees,47,0,0,40.4,41.3,100.0,100.0
1544,Staying employees,45,1,0,52.0,-10.0,55.5,
1545,Staying employees,34,1,1,93.3,,,100.0
1546,Staying employees,54,0,0,70.3,-15.5,69.0,100.0
1547,Staying employees,54,0,0,100.0,,,
1548,Staying employees,36,0,0,100.0,0.0,90.0,100.0
1549,Staying employees,38,0,0,100.0,0.0,100.0,100.0
1550,Staying employees,33,0,0,52.5,10.0,25.0,69.0
1551,Staying employees,54,0,0,85.0,-10.5,50.0,94.0
1552,Staying employees,53,0,0,99.5,,,
1553,Leaving employees,28,0,0,57.0,,,
1554,Staying employees,29,0,0,89.0,-7.7,89.0,95.0
1555,Staying employees,35,0,0,67.1,-4.0,,43.0
1556,Staying employees,42,0,0,100.0,0.0,100.0,100.0
1557,Staying employees,43,0,0,99.3,1.7,,100.0
1558,Staying employees,39,0,0,20.4,13.2,64.0,
1559,Staying employees,43,0,0,70.9,-16.0,,100.0
1560,Leaving employees,37,0,0,70.0,,,
1561,Staying employees,30,0,0,100.0,,,
1562,Staying employees,31,0,0,94.1,13.7,100.0,100.0
1563,Staying employees,33,1,0,70.0,,,
1564,Leaving employees,32,0,0,7.7,,7.0,0.0
1565,Leaving employees,61,0,0,99.0,0.0,100.0,100.0
1566,Staying employees,23,1,0,100.0,,,
1567,Staying employees,49,0,0,99.6,-1.0,100.0,100.0
1568,Staying employees,51,0,0,79.2,6.2,59.0,100.0
1569,Staying employees,38,0,0,70.4,34.0,76.0,
1570,Staying employees,34,0,0,87.1,24.0,100.0,79.0
